게시대명,게시대위치명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,현수막규격,게시면수,부착금액,용도구분명,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
남05,(6000*700)부평리정수장 앞(동갈보대 옆),강원특별자치도,인제군,,강원특별자치도 인제군 남면 부평리 338-3,37.98774182,128.1006526,600x70,6,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
남06-1,남면파출소 앞(교량 옆 공영주차장),강원특별자치도,인제군,,강원특별자치도 인제군 남면 신남리 18-31,37.96745851,128.0795121,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
남06-2,(5000*600)남면파출소 앞(2단),강원특별자치도,인제군,,강원특별자치도 인제군 남면 신남리 18-1,37.9644411,128.088736,500x60,2,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
남07,어론리 마을회관 옆(응봉아파트 입구),강원특별자치도,인제군,,강원특별자치도 인제군 남면 어론리 714-18,37.9348715,128.062343,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
남08,남면 문화마을 소공원,강원특별자치도,인제군,,강원특별자치도 인제군 남면 신남리 369,37.96849653,128.0800826,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
남09,수산리 입구 삼거리,강원특별자치도,인제군,,강원특별자치도 인제군 남면 상수내리 산31-26도,37.9694095,128.066584,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
남10-1,[공공](5000*600)종합복지회관 공영주차장 앞(좌),강원특별자치도,인제군,,강원특별자치도 인제군 남면 신남리 602,37.97002455,128.0815844,500x60,2,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
남10-2,[공공](6000*600)종합복지회관 공영주차장 앞(중),강원특별자치도,인제군,,강원특별자치도 인제군 남면 신남리 602,37.97002455,128.0815844,600x60,2,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
남10-3,[공공](6000*600)종합복지회관 공영주차장 앞(우),강원특별자치도,인제군,,강원특별자치도 인제군 남면 신남리 602,37.97002455,128.0815844,600x60,2,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
남11,[공공]남면문화마을공원(하나로마트 앞),강원특별자치도,인제군,,강원특별자치도 인제군 남면 신남리 369,37.96849653,128.0800826,600x90,1,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
북01,원통사거리(제이마트),강원특별자치도,인제군,,강원특별자치도 인제군 북면 원통리 459-50,38.1210842,128.208796,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
북02,원통리 대동공업사앞 공영주차장,강원특별자치도,인제군,,강원특별자치도 인제군 북면 원통리 682-1,38.1228373,128.2074666,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
북03,원통리 로얄장 앞 공영주차장(속초방향),강원특별자치도,인제군,,강원특별자치도 인제군 북면 원통리 686-13,38.1214663,128.2058259,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
3,상망교앞,경상북도,영주시,,경상북도 영주시 상망동 698-2,36.83648294,128.6414111,,6,,상업용,경상북도 영주시청,054-639-6665,2024-12-18,5090000,경상북도 영주시
북04-1,원통리 서호교(쌍다리)(좌),강원특별자치도,인제군,,강원특별자치도 인제군 북면 원통리 866-2,38.11071364,128.1959134,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
북04-2,원통리 서호교(쌍다리)(우),강원특별자치도,인제군,,강원특별자치도 인제군 북면 원통리 866-2,38.11071364,128.1959134,600x70,6,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
북05,원통제재소 앞,강원특별자치도,인제군,,강원특별자치도 인제군 북면 원통리 1661-2,38.1311734,128.22364,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
북06,설악휴게소 주차장,강원특별자치도,인제군,,강원특별자치도 인제군 북면 한계리 1468,38.1381175,128.245234,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
북08,(5000*600)북면 행정복지센터 앞,강원특별자치도,인제군,,강원특별자치도 인제군 북면 원통리 660-2,38.12496102,128.204791,500x60,2,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
북09,(6000*700)원통 농공단지 진입로,강원특별자치도,인제군,,강원특별자치도 인제군 북면 원통리 1693,38.11613914,128.2007497,600x70,6,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
북10,용대3리 부흥식당-복바위식당,강원특별자치도,인제군,,강원특별자치도 인제군 북면 용대리 187-1,38.21960316,128.370831,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
북11,칠성고개정상(장례식장전),강원특별자치도,인제군,,강원특별자치도 인제군 북면 원통리 578-4,38.13324888,128.2126197,600x70,6,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
북12,월학2리 신교대입구,강원특별자치도,인제군,,강원특별자치도 인제군 북면 월학리 산 1-10,38.1595934,128.2109824,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
북13,원통리 로얄장 앞 공영주자창(인제방향),강원특별자치도,인제군,,강원특별자치도 인제군 북면 원통리 686-13,38.1214663,128.2058259,600x70,6,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
북15-1,[공공]원통종합복지타운 1좌(면사무소측),강원특별자치도,인제군,,강원특별자치도 인제군 북면 원통리 661-3,38.1255587,128.205551,600x90,1,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
북15-2,[공공]원통종합복지타운 2우(원통고측),강원특별자치도,인제군,,강원특별자치도 인제군 북면 원통리 661-3,38.1255587,128.205551,600x90,1,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
북16,[공공]원통복지타운 별관 후문,강원특별자치도,인제군,,강원특별자치도 인제군 북면 원통리 661-4,38.1255587,128.205551,600x90,1,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
북17,월학1리 입구,강원특별자치도,인제군,,강원특별자치도 인제군 북면 월학리 2256-64,38.14740216,128.2079662,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
북18,[공공]원통리 서호교 정류장 옆,강원특별자치도,인제군,,강원특별자치도 북면 원통리 866-2,38.1109174,128.196075,500x60,1,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
북19,[공공]원통중앙공원,강원특별자치도,인제군,,강원특별자치도 북면 원통리 650-2,38.1230726,128.2064,500x60,1,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
북20,북면 제6-1 공영주차장,강원특별자치도,인제군,,강원특별자치도 북면 원통리 503-1,38.1247317,128.208012,500x60,2,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
상남01,상남입구 오미재삼거리,강원특별자치도,인제군,,강원특별자치도 인제군 상남면 상남리 55-6,37.8754741,128.2566291,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
상남02,상남카센터 앞(신삼거리),강원특별자치도,인제군,,강원특별자치도 인제군 상남면 상남리 166-1,37.8707028,128.2605322,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
상남03,(5000*600)상남리 보건지소 주차장,강원특별자치도,인제군,,강원특별자치도 인제군 상남면 상남리 127-4,37.8734891,128.259409,500x60,2,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
상남04,하남1리 마을회관,강원특별자치도,인제군,,강원특별자치도 인제군 상남면 하남리 398-7,37.9172522,128.291211,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
상남05,상남4리 고석평3거리 주유소 앞,강원특별자치도,인제군,,강원특별자치도 인제군 상남면 상남리 307-2,37.8585853,128.251236,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
상남06-1,(6000*900)상남 푸르미아파트 옹벽 앞(우),강원특별자치도,인제군,,강원특별자치도 인제군 상남면 상남리 143-1,37.8738683,128.2585323,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
상남06-2,(6000*700)상남 푸르미아파트 옹벽 앞(좌),강원특별자치도,인제군,,강원특별자치도 인제군 상남면 상남리 143-1,37.8738683,128.2585323,600x70,6,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
서화01,(5000*600)천도리 체육공원 진입로,강원특별자치도,인제군,,강원특별자치도 인제군 서화면 천도리 443-3,38.2286609,128.207306,500x60,2,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
서화02-1,천도리 체육공원 앞(서화리 방향),강원특별자치도,인제군,,강원특별자치도 인제군 서화면 천도리 443-1번지 일대,38.2292628,128.207465,600x70,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
서화02-2,천도리 체육공원 앞(천도리 방향),강원특별자치도,인제군,,강원특별자치도 인제군 서화면 천도리 443-1번지 일대,38.2292628,128.207465,600x70,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
서화03,천도리 테니스장 앞(강쪽),강원특별자치도,인제군,,강원특별자치도 인제군 서화면 천도리 586-4,38.2226652,128.207801,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
서화04,천도리 천도교(백동아파트 입구 근처),강원특별자치도,인제군,,강원특별자치도 인제군 서화면 천도리 529-2,38.22670073,128.2097901,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
2,봉화삼거리,경상북도,영주시,,경상북도 영주시 하망동 252-18,36.8275332,128.6328634,,18,,상업용,경상북도 영주시청,054-639-6665,2024-12-18,5090000,경상북도 영주시
서화05,서화 제1공영주차장,강원특별자치도,인제군,,강원특별자치도 인제군 서화면 천도리 586,38.2230169,128.2079419,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
서화07,사천교-서흥교 언덕길,강원특별자치도,인제군,,강원특별자치도 인제군 서화면 서흥리 산 93-3,38.18895586,128.20995,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
서화08,서화 을지성당 앞(서화초 주차장),강원특별자치도,인제군,,강원특별자치도 인제군 서화면 천도리 441-1,38.23027868,128.2075941,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제01,인제우체국앞,강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 상동리 348-6,38.0692571,128.171444,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제02-1,(5000*600)인제문화관 앞 1 좌,강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 상동리 345-3,38.0687125,128.1710064,500x60,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제02-2,(5000*600)인제문화관 앞 2 우,강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 상동리 345-3,38.0687125,128.1710064,500x60,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제03-1,남북리 진입로 좌,강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 남북리 402-8,38.05729987,128.1628,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제03-2,남북리 진입로 우,강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 남북리 402-8,38.05729987,128.1628,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제03-3,남북리 진입로 중,강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 남북리 402-8,38.05729987,128.1628,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제04-1,농특산물판매장 뒤(중),강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 상동리 430,38.06476457,128.1746771,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제04-2,농특산물판매장 뒤 터미널 맞은편(좌),강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 상동리 430,38.06476457,128.1746771,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제04-3,(6000*700)농특산물판매장 뒤(우),강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 상동리 430,38.06476457,128.1746771,600x70,6,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제05-1,자작나무숲 주차장 앞 좌,강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 원대리 761-2,38.00886714,128.19518,600x90,3,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제05-2,자작나무숲 주차장 앞 우,강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 원대리 761-2,38.00886714,128.19518,600x90,3,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제06-1,합강리 쌍호(아르미소)아파트 앞(좌),강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 합강리 274-3,38.0753744,128.183109,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제06-2,합강리 쌍호(아르미소)아파트 앞(우),강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 합강리 274-3,38.0753744,128.183109,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제07,내설악아파트 놀이터 앞,강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 상동리 45-6,38.06922154,128.1750141,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제08,합강교 옆(원통방면),강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 합강리 산 29-1,38.07676917,128.186959,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제09,(5000*600)하늘내린센터 앞,강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 남북리 388,38.06067411,128.164956,500x60,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제10,하추리 생태학교(마을회관),강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 하추리 445,38.0196227,128.281741,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제11,하추리 마을입구(교량 옆),강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 하추리 524-6,38.0109037,128.269144,600x90,5,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제12-1,인제국도삼거리 1 중(원통측),강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 상동리 111-6,38.0647708,128.1751533,600x70,6,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제12-2,인제국도삼거리 2 우(서울측),강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 상동리 111-6,38.0647708,128.1751533,600x70,6,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제12-3,인제국도삼거리 3 좌(원통측),강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 상동리 112-6,38.0650461,128.1755269,600x70,6,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제13-1,[공공]인제읍사무소 1좌(군청측),강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 상동리 381,38.06997345,128.1721569,600x90,1,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제13-2,[공공]인제읍사무소 2우(경찰서측),강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 상동리 381,38.06997345,128.1721569,500x90,1,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제14-1,[공공]정중앙휴게소 옆 1좌(국도측),강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 상동리 430,38.06476457,128.1746771,610x90,1,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제14-2,[공공]정중앙휴게소 옆 2우(터미널측),강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 상동리 430,38.06476457,128.1746771,610x90,1,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제15,귀둔리 농공단지,강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 귀둔리 611-3,38.0162628,128.372004,600x70,6,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
1,장미마을아파트입구,경상북도,영주시,,경상북도 영주시 상망동 914-1,36.8316747,128.6377077,,10,,상업용,경상북도 영주시청,054-639-6665,2024-12-18,5090000,경상북도 영주시
인제16-1,리빙스톤교 44번 국도변(좌),강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 합강리 158-7,38.08775232,128.18114,600x70,6,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제16-2,리빙스톤교 44번 국도변(우),강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 합강리 158-7,38.08775232,128.18114,600x70,6,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제17-1,[공공]농특산물판매장 뒤(좌),강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 상동리 450,38.06531307,128.1739385,600x90,1,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제17-2,[공공]농특산물판매장 뒤(우),강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 상동리 450,38.06531307,128.1739385,600x90,1,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제17-3,[공공]농특산물판매장 정자 앞,강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 상동리 450,38.06531307,128.1739385,600x90,1,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제18-1,[공공]쌈지공원 앞(좌),강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 상동리 450,38.06531307,128.1739385,600x90,1,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제18-2,[공공]쌈지공원 앞(우),강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 상동리 450,38.06531307,128.1739385,600x90,1,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제18-3,(5000*600)쌈지공원 옆(터미널 맞은편),강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 상동리 249-19,38.0658128,128.1745025,500x60,2,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제19-1,(5000*600)합강교 맞은편,강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 합강리 산29-3,38.07685702,128.1866858,500x60,2,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제19-2,(5000*600)합강교 옆,강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 합강리 산29-1,38.07676917,128.186959,500x60,2,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제20,[공공](5000*600)하늘내린센터 버스정거장 옆,강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 남북리 388-1,38.06123254,128.164442,500x60,2,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
인제21,(5000*600)합강리 미소숯불닭갈비 건너편,강원특별자치도,인제군,,강원특별자치도 인제군 인제읍 합강리 219-2,38.0757854,128.1842816,500x60,2,,,강원특별자치도 인제군청,,2024-12-13,4331000,강원특별자치도 인제군
6,상망건널목,경상북도,영주시,,경상북도 영주시 상망동 861-30,36.82827148,128.6369221,,10,,상업용,경상북도 영주시청,054-639-6665,2024-12-18,5090000,경상북도 영주시
7,구안동통로,경상북도,영주시,,경상북도 영주시 하망동 302-12,36.8235189,128.628316,,12,,상업용,경상북도 영주시청,054-639-6665,2024-12-18,5090000,경상북도 영주시
8,북영주지하도,경상북도,영주시,,경상북도 영주시 휴천동 642-1033,36.82155075,128.6263746,,15,,상업용,경상북도 영주시청,054-639-6665,2024-12-18,5090000,경상북도 영주시
9,북영주지하도,경상북도,영주시,,경상북도 영주시 휴천동 642-1033,36.82155075,128.6263746,,15,,상업용,경상북도 영주시청,054-639-6665,2024-12-18,5090000,경상북도 영주시
10,세영첼시빌입구,경상북도,영주시,,경상북도 영주시 휴천동 산 180-1,36.8184405,128.6354028,,12,,상업용,경상북도 영주시청,054-639-6665,2024-12-18,5090000,경상북도 영주시
11,용암교차로,경상북도,영주시,,경상북도 영주시 휴천동 1157-1,36.82020446,128.6374303,,5,,상업용,경상북도 영주시청,054-639-6665,2024-12-18,5090000,경상북도 영주시
12,용암교차로,경상북도,영주시,,경상북도 영주시 휴천동 1157-1,36.82020446,128.6374303,,2,,행정용,경상북도 영주시청,054-639-6665,2024-12-18,5090000,경상북도 영주시
13,신영사거리-1,경상북도,영주시,,경상북도 영주시 휴천동 642-241,36.81289445,128.6209365,,6,,상업용,경상북도 영주시청,054-639-6665,2024-12-18,5090000,경상북도 영주시
14,신영사거리-2,경상북도,영주시,,경상북도 영주시 휴천동 642-241,36.81289445,128.6209365,,6,,상업용,경상북도 영주시청,054-639-6665,2024-12-18,5090000,경상북도 영주시
15,신영사거리-3,경상북도,영주시,,경상북도 영주시 휴천동 642-880,36.81864378,128.6211249,,6,,상업용,경상북도 영주시청,054-639-6665,2024-12-18,5090000,경상북도 영주시
16,현대아파트,경상북도,영주시,,경상북도 영주시 휴천동 462-5,36.80556051,128.6196048,,15,,상업용,경상북도 영주시청,054-639-6665,2024-12-18,5090000,경상북도 영주시
17,대영아파트,경상북도,영주시,,경상북도 영주시 휴천동 412-22,36.8067579,128.6288542,,18,,상업용,경상북도 영주시청,054-639-6665,2024-12-18,5090000,경상북도 영주시
18,대영아파트,경상북도,영주시,,경상북도 영주시 휴천동 412-22,36.8067579,128.6288542,,12,,상업용,경상북도 영주시청,054-639-6665,2024-12-18,5090000,경상북도 영주시
19,대영아파트,경상북도,영주시,,경상북도 영주시 휴천동 412-22,36.8067579,128.6288542,,5,,상업용,경상북도 영주시청,054-639-6665,2024-12-18,5090000,경상북도 영주시
20,조암교옆,경상북도,영주시,,경상북도 영주시 조암동 1175-6,36.8024176,128.6314595,,12,,상업용,경상북도 영주시청,054-639-6665,2024-12-18,5090000,경상북도 영주시
21,조암교옆,경상북도,영주시,,경상북도 영주시 조암동 1175-4,36.8024701,128.6312852,,2,,상업용,경상북도 영주시청,054-639-6665,2024-12-18,5090000,경상북도 영주시
22,파머스마켓앞,경상북도,영주시,,경상북도 영주시 조암동 1381-2,36.7956749,128.6321059,,12,,상업용,경상북도 영주시청,054-639-6665,2024-12-18,5090000,경상북도 영주시
23,적서교차로,경상북도,영주시,,경상북도 영주시 조암동 1381-3,36.7942621,128.6327461,,5,,상업용,경상북도 영주시청,054-639-6665,2024-12-18,5090000,경상북도 영주시
24,적서교차로,경상북도,영주시,,경상북도 영주시 조암동 1381-3,36.7942621,128.6327461,,6,,상업용,경상북도 영주시청,054-639-6665,2024-12-18,5090000,경상북도 영주시
E-005,대야동 한신(아)삼거리,경기도,시흥시,,경기도 시흥시 대야동 215-3,37.4512556,126.7927653,700X70,4,12900,상업용,경기도 시흥시,031-310-3996,2025-02-04,4010000,경기도 시흥시
G320,상면사무소 앞,경기도,가평군,,경기도 가평군 상면 연하리 174-18,37.805607,127.3566643,600x70,18,12900,상업용,(사)경기도옥외광고협회가평군지부,031-582-9866,2025-05-19,4160000,경기도 가평군
G570,상면사무소 앞(저단),경기도,가평군,,경기도 가평군 상면 연하리 174-18,37.805607,127.3566643,600x70,1,9900,행정용,상면행정복지센터,031-580-4178,2025-05-19,4160000,경기도 가평군
